TRANSTEXT 7.2.998.2
PRIMARY_LANGID 6
English Text	Translated Text	Item Type
NEED_TRANSLATION
"%d more tasks"	""	"tooltip"
"<Multiple tasks selected>,"	""	"text"
"<No task selected>,"	""	"text"
"Display report automatically"	""	"checkbox"
"Email Selected Tasks..."	""	"menu"
"Hide All"	""	"menu"
"Selected task"	""	"tooltip"
"Show All"	""	"menu"
"Unallocated"	""	"text"
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"(OBS: En eller flere af disse opgaver har underopgaver, som også slettes)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"(OBS: Denne opgave har underopgaver som også slettes)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nØnsker du tvungen udcheckning af opgavelisten?\n\nBemærk: Alle ikke gemte data fra '%s' mistes!"	"text"
"\nWould you like to update to this version?"	"\nØnsker du at opdatere til denne version?"	"text"
"% Complete"	"% Færdig"	"label"
"% of page"	"% af side"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f kB er hentet (%0.1f kB mangler)"	"text"
"%d / %d tasks"	"%d / %d opgaver"	"text"
"%d tasks selected"	"%d opgaver valgt"	"text"
"%s\n%d Estimated\n%d Actual"	"%s\n%d tidsestimat\n%d aktuel"	"tooltip"
"%s\n%d Estimated\n%d Spent"	"%s\n%d tidsestimat\n%d tidsforbrug"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d startet\n%d afsluttet"	"tooltip"
"%s\n%d Tasks"	"%s\n%d opgaver"	"tooltip"
"%s (Custom)"	"%s (Brugerdefineret)"	"text"
"%s (Custom, Relative)"	"%s (Brugerdefineret, relativ)"	"text"
"%s (Delay loaded)"	"%s (bliver hentet forsinket)"	"text"
"%s - %d tasks"	"%s - %d opgaver"	"text"
"%s weekdays"	"%s ugedage"	"text"
"'%s' contained no tasks which could be imported."	"'%s' indeholdt ikke nogle opgaver der kunne importeres."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' kunne ikke checkes ud \nfordi den er checket ud til '%s' (Sidst gemt: %s)"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' kunne ikke checkes ud.\n\nKontroller at den ikke er blevet flyttet eller slettet og at du har de nødvendige adgangsrettigheder."	"text"
