TRANSTEXT 7.1.997.12
PRIMARY_LANGID 12
English Text	Translated Text	Item Type
NEED_TRANSLATION
"% Complete:\t"	""	"text"
"%s (Delay loaded)"	""	"text"
"%s - %d task(s)"	""	"text"
"'%s' contained no tasks which could be imported."	""	"text"
"'%s' could not be opened because the network location is not currently accessible."	""	"text"
"'Bar' colour for tasks having no colour"	""	"checkbox"
"'Non-working hours' colour"	""	"button"
"'Stack' comments above (or left of) edit fields"	""	"checkbox"
"'{0}' appears in {1} task(s)"	""	"tooltip"
"(Note: You should only use this option if you are certain that the incoming tasks will have the correct task IDs)"	""	"label"
"(paused)"	""	"text"
"- Fixed Columns -"	""	"combobox"
"-ab <alloc by>\tSets the 'Allocated By' for the currently selected task"	""	"text"
"-at <alloc to>\tSets the 'Allocated To(s)' for the currently selected task"	""	"text"
"-bid <task id>\tSpecifies the sibling task after which to create the new task"	""	"text"
"-c <categories>\tSets the 'Category(s) for the currently selected task"	""	"text"
"-ca <attribute id> <attribute value>\tSets the value for the specified custom attribute ID for the currently selected task"	""	"text"
"-cd <date>\tSets the 'Completion Date' for the currently selected task"	""	"text"
"-cm <comments>\tAdds to the 'Comments' for the currently selected task"	""	"text"
"-cmd <id>\tSends the specified command to ToDoList's main window"	""	"text"
"-copy <attrib1> <attrib2>\tCopies the value for 'attrib1' to 'attrib2' for the currently selected task"	""	"text"
"-cs <cost>\tSets the 'Cost' for the currently selected task"	""	"text"
"-ct <time>\tSets the 'Completion Time' for the currently selected task"	""	"text"
"-dd <date>\tSets the 'Due Date' for the currently selected task"	""	"text"
"-dp <id>\tSets the 'Dependency(s)' for the currently selected task"	""	"text"
"-dt <time>\tSets the 'Due Time' for the currently selected task"	""	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	""	"text"
"-f <filepath2>[|<filepath3>|<filepath4>]\tAllows additional tasklists to be opened"	""	"text"
"-fr <path>\tSets the 'File Link' for the currently selected task"	""	"text"
"-g\tEnables logging"	""	"text"
"-h, -help, -?\tDisplays a message box showing all the available commandline options"	""	"text"
"-i <inipath>\tSpecifies an alternative settings file path"	""	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	""	"text"
"-m <filepath>\tImports the specified file"	""	"text"
"-md <date>\tSets the 'Creation Date' of the newly created task"	""	"text"
"-mt <time>\tSets the 'Creation Time' of the newly created task"	""	"text"
"-nt <title>\tCreates a new task in the active tasklist with the specified title"	""	"text"
"-p <priority>\tSets the 'Priority' for the currently selected task"	""	"text"
"-pc <percentage>\tSets the 'Percentage Completion' for the currently selected task"	""	"text"
"-pid <task id>\tSpecifies the parent task in which to create the new task"	""	"text"
"-r <risk>\tSets the 'Risk' for the currently selected task"	""	"text"
"-s <status>\tSets the 'Status' for the currently selected task"	""	"text"
"-sd <date>\tSets the 'Start Date' for the currently selected task"	""	"text"
"-st <time>\tSets the 'Start Time' for the currently selected task"	""	"text"
"-te <hrs>\tSets the 'Time Estimate' for the currently selected task"	""	"text"
"-tg <tags>\tSets the 'Tag(s)' for the currently selected task"	""	"text"
"-tid <task id>\tSelects the specified task in the active tasklist"	""	"text"
"-ts <hrs>\tSets the 'Time Spent' for the currently selected task"	""	"text"
"-tv <version>\tSets the 'Version' for the currently selected task"	""	"text"
"-v\tForces ToDoList to startup visible regardless of its last saved state"	""	"text"
"-x\tTurns off password prompting except when first loading an encrypted tasklist"	""	"text"
"-xid <ext_id>\tSets the 'external ID' for the currently selected task"	""	"text"
"-z\tStores attribute visibility settings within each tasklist"	""	"text"
"3rd Party Storage %d"	""	"menu"
"3rd Party Storage"	""	"menu"
"<New Button>"	""	"text"
"<New Column>"	""	"text"
"<filepath>\tOpens/selects the specified tasklist"	""	"text"
"<multiple formats>"	""	"text"
"<separator>"	""	"text"
"AaBbYyZz"	""	"label"
