TRANSTEXT 9.0
PRIMARY_LANGID 7
English Text	Translated Text	Item Type
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(ACHTUNG: Eine oder mehrere Aufgaben haben Teilaufgaben, die ebenfalls gelöscht werden.)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(ACHTUNG: Diese Aufgabe hat Teilaufgaben, die ebenfalls gelöscht werden.)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nMöchten sie das Auschecken der Aufgabenliste erzwingen?\n\nAnmerkung: Alle ungespeicherten Daten von '%s' gehen dabei verloren!"	"text"
"% Complete"	"% erledigt"	"label"
"% of page"	"% der Seite"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f kB bisher heruntergeladen (%0.1f kB verbleibend)"	"text"
"%d / %d tasks"	"%d / %d Aufgaben"	"text"
"%d more tasks"	"%d weitere Aufgaben"	"tooltip"
"%d tasks selected"	"%d Aufgaben ausgewählt"	"text"
"%s\n%0.2f Estimated\n%0.2f Spent"	"%s\n%0.2f Geschätzt\n%0.2f Zeitaufwand"	"tooltip"
"%s\n%d Estimated\n%d Actual"	"%s\n%d Geschätzt\n%d Aktuell"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d Begonnen\n%d Erledigt"	"tooltip"
"%s\n%d Tasks"	"%s\n%d Aufgaben"	"tooltip"
"%s\nDue %s\nCompleted %s"	"%s\nFällig %s\nErledigt %s"	"tooltip"
"%s (Custom)"	"%s (Benutzerdefiniert)"	"text"
"%s (Custom, Relative)"	"%s (Benutzerdefiniert, Relativ)"	"text"
"%s (Delay loaded)"	"%s (wird verzögert geladen)"	"text"
"%s (Fixed Columns)"	"%s (Feste Spalten)"	"combobox"
"%s - %d tasks"	"%s - %d Aufgaben"	"text"
"%s ago"	"%s vorher"	"text"
"%s weekdays"	"%s Werktage"	"text"
"'%s' already exists.\nDo you want to replace it?"	"'%s' ist bereits vorhanden.\nMöchten sie die Datei ersetzen?"	"text"
"'%s' contained no tasks which could be imported."	"'%s' enthielt keine Aufgaben, die importiert werden konnten."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' konnte nicht ausgecheckt werden;\nes ist bereits ausgecheckt von '%s' (Zuletzt gespeichert: %s)."	"text"
