TRANSTEXT 8.2.999.1
PRIMARY_LANGID 8
English Text	Translated Text	Item Type
NEED_TRANSLATION
"-bid <task id>\tSpecifies the sibling task below which to create the new task"	""	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	""	"text"
"-g\tEnables logging"	""	"text"
"-i <inipath>\tSpecifies an alternative settings file path"	""	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	""	"text"
"-m <filepath>\tImports the specified file"	""	"text"
"-mp\tUses the password of the first decrypted tasklist as a master password for decrypting subsequent tasklists. Requires password prompting to be turned off (-x)"	""	"text"
"-nt <title>\tCreates a new task in the active tasklist with the specified title"	""	"text"
"-pid <task id>\tSpecifies the parent task in which to create the new task"	""	"text"
"-tid <task id>\tSelects the specified task in the active tasklist"	""	"text"
"-tp <prefix>\tApplies a prefix to the application title"	""	"text"
"-v\tForces ToDoList to startup visible regardless of its last saved state"	""	"text"
"-x\tTurns off password prompting except when first loading an encrypted tasklist"	""	"text"
"-z\tStores attribute visibility settings within each tasklist"	""	"text"
"<New Dependency>"	""	"text"
"<no one>"	""	"text"
"Add"	""	"combobox"
"Any version can match"	""	"combobox"
"Apply font to all content"	""	"radiobutton"
"Arrows"	""	"label"
"Background colour"	""	"checkbox"
"Both"	""	"combobox"
"Calculation"	""	"text"
"Clear Zoom"	""	"tooltip"
"Collapse All Images"	""	"tooltip"
"Colour 'Priority' column"	""	"checkbox"
"Comments Format"	""	"text"
"Completed Status"	""	"menu"
"Completed task colour"	""	"checkbox"
"Connection Visibility"	""	"label"
"Create Time Block"	""	"dialog"
"Date range"	""	"label"
"Default Connection Attributes"	""	"label"
"Delete Connection"	""	"tooltip"
"Delete Time Block"	""	"tooltip"
"Delete Time Block Series"	""	"tooltip"
"Dependency colour"	""	"label"
"Display 'File Link' images as thumbnails"	""	"checkbox"
"Display active tasks on 'Today'"	""	"checkbox"
"Display an image behind content pages"	""	"checkbox"
"Display tasks discontinuously between their 'Start' and 'Due' (or 'Completion') dates"	""	"checkbox"
"Divide"	""	"combobox"
"Draw connections on top"	""	"combobox"
"Draw pins"	""	"combobox"
"Duplicate Time Block"	""	"tooltip"
"Edit Connection"	""	"tooltip"
"Edit Ignore List"	""	"tooltip"
"Edit Time Block Series"	""	"tooltip"
"End"	""	"combobox"
"Evidence Board"	""	"text"
"Evidence Board Preferences"	""	"dialog"
"Expand All Images"	""	"tooltip"
"Export tasks as 'event' items"	""	"radiobutton"
"Export tasks as 'to-do' items"	""	"radiobutton"
"File Link Preferences"	""	"dialog"
"File not found (%s)"	""	"tooltip"
"Fixed"	""	"radiobutton"
"Font Options"	""	"label"
"Graphs Preferences"	""	"tooltip"
"Group By"	""	"label"
"Ignore Selected Word"	""	"tooltip"
"Image of active task view (%s)"	""	"radiobutton"
"Installed font"	""	"radiobutton"
"Label"	""	"label"
"Lead In (Days)"	""	"sysheader32"
"Multiply"	""	"combobox"
"New Connection"	""	"tooltip"
"New External Tool"	""	"tooltip"
"New Time Block"	""	"tooltip"
"New ToDoList Tool"	""	"tooltip"
"None"	""	"combobox"
"Only 'flash' the Reminder window for new (or reshown) reminders"	""	"checkbox"
"Only apply font to unformatted content"	""	"radiobutton"
"Other font"	""	"radiobutton"
"Parent/Child"	""	"combobox"
"Parent/child connection colour"	""	"label"
"Paste Task Attributes"	""	"menu"
"PDF Tree View"	""	"combobox"
"PDF Tree View Options"	""	"dialog"
"Period defining 'Recently Modified' tasks"	""	"label"
"Preserve weekdays by default when recalculating task dates"	""	"checkbox"
"Save Task View (%s) to Image..."	""	"menu"
"Scroll to Selected Task"	""	"menu"
"Show 'Visible Date Range' slider"	""	"combobox"
"Show close buttons on tabs"	""	"checkbox"
"Show full date in each cell"	""	"checkbox"
"Show the 'Week Number' on the first day of the week"	""	"checkbox"
"Specific"	""	"radiobutton"
"Specific days"	""	"label"
"Subtract"	""	"combobox"
"Synchronised to task dates"	""	"radiobutton"
"The requested image was too large to be created.\n\nTry zooming out or otherwise reducing the extents of the tasks to be rendered."	""	"text"
"Thickness"	""	"label"
"Time of day"	""	"label"
"Toggle All Tasks Expanded State"	""	"menu"
"Untyped"	""	"combobox"
"Use 'No' colour"	""	"radiobutton"
"Use same font for 'Comments'"	""	"checkbox"
"Use same font for 'Find Task Results'"	""	"checkbox"
"Use same font for 'Find Tasks Results'"	""	"checkbox"
"Use same font for 'Task Reminders'"	""	"checkbox"
"Visible Date Range"	""	"label"
"Watermark"	""	"label"
"weekday"	""	"combobox"
"Zoom to Extents"	""	"tooltip"
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(ΠΡΟΣΟΧΗ: Μία ή περισσότερες από αυτές τις εργασίες έχουν υποεργασίες που επίσης θα διαγραφούν)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nΘέλετε να κάνετε βίαιο έλεγχο της λίστας εργασιών; \n\nΣημείωση: Τυχόν μη αποθηκευμένα δεδομένα από την '%s' θα χαθούν!"	"text"
"% Complete"	"% Πλήρες"	"label"
"% of page"	"% της σελίδας"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Kb κατεβάσει μέχρι στιγμής (%0.1f Kb υπόλοιπο)"	"text"
"%d / %d tasks"	"%d / %d εργασίες"	"text"
"%d more tasks"	"%d περισσότερες εργασίες"	"tooltip"
"%d tasks selected"	"%d επιλεγμένες εργασίες"	"text"
"%s\n%d Estimated\n%d Actual"	"%s\n%d Εκτιμώμενα\n%d Πραγματικά"	"tooltip"
"%s\n%d Estimated\n%d Spent"	"%s\n%d Εκτιμώμενα\n%d δαπανηθέντα"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d Ξεκίνησαν\n%d Ολοκληρώθηκαν"	"tooltip"
