TRANSTEXT 7.1.997.6
PRIMARY_LANGID 13
English Text	Translated Text	Item Type
NEED_TRANSLATION
"% Complete:\t"	""	"text"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	""	"text"
"%d"	""	"text"
"%s (Custom)"	""	"text"
"%s (Delay loaded)"	""	"text"
"%s - %d task(s)"	""	"text"
"%s [%s]"	""	"text"
"'%s' contained no tasks which could be imported."	""	"text"
"'%s' could not be opened because the network location is not currently accessible."	""	"text"
"'Bar' colour for tasks having no colour"	""	"checkbox"
"'Stack' comments above (or left of) edit fields"	""	"checkbox"
"'{0}' appears in {1} task(s)"	""	"tooltip"
"(Note: You should only use this option if you are certain that the incoming tasks will have the correct task IDs)"	""	"label"
"(paused)"	""	"text"
"- Fixed Columns -"	""	"combobox"
"3rd Party Storage %d"	""	"menu"
"3rd Party Storage"	""	"menu"
"<New Column>"	""	"text"
"<filepath>\tOpens/selects the specified tasklist\n-m <filepath>\tImports the specified file\n-f <filepath2>[|<filepath3>|<filepath4>]\tAllows additional tasklists to be opened\n-v\tForces ToDoList to startup visible regardless of its last saved state\n-i <inipath>\tSpecifies an alternative settings file path\n-x\tTurns off password prompting except when first loading an encrypted tasklist\n-cmd <id>\tSends the specified command to ToDoList's main window\n-h, -help, -?\tThis messagebox\n"	""	"text"
"A connection to '%s' could not be established.\n\nWould you like to check your details and try again?"	""	"text"
"AaBbYyZz"	""	"label"
"Actual Work"	""	"text"
"Alloc By"	""	"sysheader32"
"Allocated By:\t"	""	"text"
"Allocated To:\t"	""	"text"
"Alpha Release"	""	"text"
"Always on Top"	""	"tooltip"
"Always prompt me to choose"	""	"checkbox"
"Always show 'Backlog' column"	""	"checkbox"
"Application"	""	"label"
"Attribute Value(s)"	""	"text"
  "Attribute Value(s)"	""	"sysheader32"
"Attribute to 'track'"	""	"label"
"Automatic"	""	"text"
"Automatically generate columns from task attribute values"	""	"radiobutton"
"Beta Release"	""	"text"
"Category:\t"	""	"text"
"Checkbox"	""	"text"
"Clear"	""	"menu"
"Close"	""	"button"
"Colour Scheme"	""	"label"
"Colour bar by task priority"	""	"checkbox"
"Columns"	""	"label"
"Comments:\t"	""	"text"
"Completed:\t"	""	"text"
"Copy Link"	""	"menu"
"Copy Tasklist Path"	""	"menu"
"Cost:\t\t"	""	"text"
"Custom Attribute (List)"	""	"text"
"D\t(days)"	""	"text"
"Date prompt"	""	"text"
"Day View"	""	"systabcontrol32"
"Days Remaining"	""	"combobox"
"Decades \t\t\t(eg, 2000-2009)"	""	"text"
"Decades start on year '1' instead of year '0'. eg. '2001' instead of '2000'"	""	"checkbox"
"Decrement Font Size"	""	"menu"
"Default Tags"	""	"label"
"Default Versions"	""	"label"
"Delegator"	""	"text"
"Dependency:\t"	""	"text"
"Dependents:\t"	""	"text"
"Development Preview"	""	"text"
"Display a task as 'Flagged' if any of its subtasks are flagged"	""	"checkbox"
"Display the following attributes for each task"	""	"groupbox"
"Display the image file directly (currently supports bmp, ico, gif, jpg, png)"	""	"radiobutton"
"Do you want to delete the existing column definitions?"	""	"text"
"Due Date:\t"	""	"text"
"Export Tasks To CSV"	""	"text"
"Export Tasks to iCalendar"	""	"dialog"
"Export tasks as 'event' items"	""	"radiobutton"
"Export tasks as 'to-do' items"	""	"radiobutton"
"External ID:\t"	""	"text"
"File Link:\t"	""	"text"
"File Linking"	""	"label"
"File prompt"	""	"text"
"Fixed column definitions: (optional)"	""	"groupbox"
"Folder prompt"	""	"text"
"H\t(hours)"	""	"text"
"Hide Empty Columns"	""	"tooltip"
"Hide unflagged email items"	""	"checkbox"
"Hide zero values"	""	"combobox"
"Hours"	""	"text"
"Images..."	""	"tooltip"
"Import Tasks From CSV"	""	"text"
"Import Tasks From Outlook"	""	"dialog"
"Import Tasks From Tasklist"	""	"dialog"
