TRANSTEXT 7.2.998.2
PRIMARY_LANGID 16
English Text	Translated Text	Item Type
NEED_TRANSLATION
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	""	"text"
"% of page"	""	"combobox"
"%s\n%d Estimated\n%d Actual"	""	"tooltip"
"%s\n%d Estimated\n%d Spent"	""	"tooltip"
"%s\n%d Started\n%d Completed"	""	"tooltip"
"%s\n%d Tasks"	""	"tooltip"
"%s weekdays"	""	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	""	"text"
"'Leaf' tasks"	""	"menu"
"'Non-working hours' colour"	""	"checkbox"
"'Overlapping' tasks colour"	""	"checkbox"
"(Week {0})"	""	"label"
"-ca <attribute id> <attribute value>\tSets the value for the specified custom attribute ID for the currently selected task"	""	"text"
"-copy <attrib1> <attrib2>\tCopies the value for 'attrib1' to 'attrib2' for the currently selected task"	""	"text"
"-ct <time>\tSets the 'Completion Time' for the currently selected task"	""	"text"
"-dt <time>\tSets the 'Due Time' for the currently selected task"	""	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	""	"text"
"-g\tEnables logging"	""	"text"
"-h, -help, -?\tDisplays a message box showing all the available commandline options"	""	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	""	"text"
"-mt <time>\tSets the 'Creation Time' of the newly created task"	""	"text"
"-pc <percentage>\tSets the 'Percentage Completion' for the currently selected task"	""	"text"
"-st <time>\tSets the 'Start Time' for the currently selected task"	""	"text"
"-tt <title>\tSets the 'Title' for the currently selected task"	""	"text"
"-z\tStores attribute visibility settings within each tasklist"	""	"text"
"1 Day View"	""	"tooltip"
"1st subtask level"	""	"menu"
"2nd subtask level"	""	"menu"
"3 Day View"	""	"tooltip"
"3rd subtask level"	""	"menu"
"4th subtask level"	""	"menu"
"5th subtask level"	""	"menu"
"6th subtask level"	""	"menu"
"7 Day View"	""	"tooltip"
"7th subtask level"	""	"menu"
"8th subtask level"	""	"menu"
"9th subtask level"	""	"menu"
"<Existing Custom Attribute>"	""	"combobox"
"<no sound>"	""	"text"
"Active Date Range (%s)"	""	"label"
"Adjust Task % Completion to match today's date"	""	"menu"
"After selected task"	""	"combobox"
"Allocated By Frequency"	""	"combobox"
"Allocated To Frequency"	""	"combobox"
"Auto-calculate missing allocations"	""	"checkbox"
"Auto-generate header row"	""	"combobox"
"begins in %.0f minutes at %s"	""	"text"
"Bottom of tasklist"	""	"combobox"
"By Now"	""	"text"
"By the End of Next Year"	""	"text"
"By the End of This Year"	""	"text"
"By the Next 7 Days"	""	"text"
"By Today"	""	"menu"
  "By Today"	""	"text"
"By Tomorrow"	""	"menu"
  "By Tomorrow"	""	"text"
"By Yesterday"	""	"text"
"Category Frequency"	""	"combobox"
"Change Day"	""	"tooltip"
"Change Week"	""	"tooltip"
"Copy All Values from '%s' Column"	""	"menu"
"Copy Selected Values from '%s' Column"	""	"menu"
"Current Period (%s)"	""	"text"
"Current Period: %d weekdays"	""	"label"
"Current Period: %s"	""	"text"
"Default Filter %d"	""	"menu"
"Dependents"	""	"tooltip"
"Duplicate"	""	"button"
"Estimated/Spent Days"	""	"combobox"
"Exclude blank list item"	""	"text"
"Export Tasklist|You must select a filename that does not match the tasklist being exported."	""	"label"
"Find Tasks Filter %d"	""	"menu"
"Find/Replace"	""	"label"
"Find/Replace in Comments..."	""	"menu"
"Find/Replace in Task Titles..."	""	"menu"
"Frequency Distributions"	""	"combobox"
"Heat-map attribute"	""	"label"
"Heat-map scheme"	""	"label"
"Ignore '{0}'"	""	"menu"
"Image Files (*.png, *.bmp, *.ico, *.jpg, *.jpeg, *.tiff, *.gif)|*.png;*.bmp;*.ico;*.jpg;*.jpeg;*.tiff;*.gif||"	""	"text"
"Import Tasks from File"	""	"dialog"
"Import Tasks from Text"	""	"dialog"
"Import Tasks from Windows Clipboard"	""	"dialog"
"is due in %.0f minutes at %s"	""	"text"
"New file path"	""	"label"
"New project name"	""	"label"
"No Reminder"	""	"text"
"Number (fraction eg. 2/3)"	""	"text"
"Offset Task Dates Backwards By"	""	"menu"
"Offset Task Dates Forwards By"	""	"menu"
"Priority Frequency"	""	"combobox"
"Report Files (*.html)|*.html||"	""	"combobox"
"Risk Frequency"	""	"combobox"
"Saved Templates"	""	"tooltip"
"Started/Completed Tasks"	""	"combobox"
"Status Frequency"	""	"combobox"
"Subtask of selected task"	""	"combobox"
"System File Required|ToDoList requires the 'Microsoft Visual C++ 2010 SP1 Redistributable Package (32-bit)' to be installed.\n\nClick 'OK' to visit the appropriate download page or 'Cancel' to quit."	""	"text"
"Tag Frequency"	""	"combobox"
"Task View %d"	""	"menu"
"Tasklists (*.tdl)"	""	"combobox"
"The exported content could not be saved to '%s'"	""	"text"
"The following task has been tracked for %d minutes:\n\n%s: %s"	""	"text"
"The updater is missing from the installation folder.\n\nWould you like to try downloading the update file manually?"	""	"text"
"There was a problem updating ToDoList at this time.\nOften this can be a problem with file and folder permissions.\n\nWould you like to view the update log file for possible clues?"	""	"text"
"Time Series"	""	"combobox"
"Top of tasklist"	""	"combobox"
"Top-level tasks"	""	"menu"
"Unspecified Levels"	""	"menu"
"Version Frequency"	""	"combobox"
"Visible Date Range (%s)"	""	"label"
"{0} (Custom)"	""	"menu"
"{0} minutes"	""	"text"
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(ATTENZIONE: uno o più di questi compiti ha sotto-compiti: verranno eliminati anch'essi)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(ATTENZIONE: questo compito ha dei sotto-compiti: verranno eliminati anch'essi)"	"text"
"\nWould you like to update to this version?"	"\nAggiornare a questa versione?"	"text"
"% Complete"	"% completo"	"label"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Kb scaricati sinora (%0.1f Kb rimanenti)"	"text"
"%d / %d tasks"	"%d / %d compiti"	"text"
"%d tasks selected"	"%d compiti selezionati"	"text"
"%s (Custom)"	"%s (personalizzato)"	"text"
"%s (Custom, Relative)"	"%s (personalizzato, relativo)"	"text"
"%s (Delay loaded)"	"%s (ritardo caricato)"	"text"
"%s - %d tasks"	"%s - %d compiti"	"text"
"'%s' contained no tasks which could be imported."	"“%s” non contiene alcun compito che può essere importato."	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"Impossibile sbloccare '%s'.\n\nVerificare che non sia stato rimosso o eliminato e di avere i necessari diritti di accesso."	"text"
"'%s' could not be found."	"Non è stato possibile trovare '%s'."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"Non è stato possibile aprire '%s' (%d).\n\nVerificare che il file esista e di avere i necessari diritti di accesso prima di riprovare."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"Non è stato possibile aprire '%s' poiché l'accesso al file è stato negato. \n\nVerificare di avere i necessari diritti di accesso e riprovare."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"Non è stato possibile aprire '%s' poiché un altro utente\n(o applicazione) sta accedendo al file. \n\nRiprovare più tardi."	"text"
