TRANSTEXT 8.3.0
PRIMARY_LANGID 19
English Text	Translated Text	Item Type
NEED_TRANSLATION
"<value varies>"	""	"text"
"Column Operations"	""	"menu"
"Copy '%s' Value"	""	"menu"
"Copy '%s' Values"	""	"menu"
"Copy All Values From Column"	""	"menu"
"Copy Selected Values From Column"	""	"menu"
"Date must be set"	""	"tooltip"
"Group Attributes"	""	"tooltip"
"Nearest Decade"	""	"combobox"
"Nearest Half-Hour"	""	"combobox"
"Paste '%s' Value to '%s'"	""	"menu"
"Paste '%s' Values to '%s'"	""	"menu"
"Paste Attribute Value"	""	"menu"
"Paste Values Into Column"	""	"menu"
"Paste Values Into Selected Tasks In Column"	""	"menu"
"Select Custom Icons"	""	"dialog"
"Select Search Icon"	""	"dialog"
"Show a 'partially-complete' checkbox for incomplete parent tasks with completed subtasks"	""	"checkbox"
"Task Completion"	""	"label"
"Toggle Sort Direction"	""	"tooltip"
"Unmaximise"	""	"menu"
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(OPGELET: Deze taak heeft deeltaken die ook verwijderd zullen worden)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(OPGELET: Deze taak heeft deeltaken die ook verwijderd zullen worden)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nWilt u de taaklijst geforceerd uitchecken?\n\nLet op: Alle niet-opgeslagen gegevens van '%s' zullen verloren gaan!"	"text"
"% Complete"	"% Afgewerkt"	"label"
"% of page"	"% van pagina"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Kb reeds binnengehaald (%0.1f Kb resterend)"	"text"
"%d / %d tasks"	"%d / %d taken"	"text"
"%d more tasks"	"%d meer taken"	"tooltip"
"%d tasks selected"	"%d geselecteerde taken"	"text"
"%s\n%d Estimated\n%d Actual"	"%s\n%d Geschat\n%d Feitelijk"	"tooltip"
"%s\n%d Estimated\n%d Spent"	"%s\n%d Geschat\n%d Gebruikt"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d Gestart\n%d Afgewerkt"	"tooltip"
"%s\n%d Tasks"	"%s\n%d Taken"	"tooltip"
"%s (Custom)"	"%s (Aanpasbaar)"	"text"
"%s (Custom, Relative)"	"%s (Aanpasbaar, Relatief)"	"text"
"%s (Delay loaded)"	"%s (Uitstel geladen)"	"text"
"%s - %d tasks"	"%s - %d taken"	"text"
"%s weekdays"	"%s weekdagen"	"text"
"'%s' already exists.\nDo you want to replace it?"	"'%s' bestaat al. \nWilt u deze vervangen?"	"text"
"'%s' contained no tasks which could be imported."	"Bestand '%s' bevat geen taken die geïmporteerd kunnen worden."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' kan niet worden uitgecheckt\nwant momenteel uitgecheckt voor '%s'"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' kan niet worden uitgecheckt.\n\nControleer dat hij niet is verplaatst of verwijderd en dat je voldoende toegangsrechten hebt."	"text"
"'%s' could not be found."	"'%s' kan niet gevonden worden."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"'%s' kan niet worden geopend (%d).\n\nControleer dat het bestand bestaat en dat je voldoende toegangsrechten hebt vooraleer je opnieuw probeert."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"'%s' kan niet worden geopend want toegang tot het bestand is niet mogelijk.\n\nControleer dat je voldoende toegangsrechten hebt vooraleer je opnieuw probeert."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' kan niet worden geopend want een andere gebruiker\n(of toepassing) is momenteel bezig met het bestand.\nProbeer later opnieuw."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' kan niet worden geopend want het bevat \nmisvormde XML die de MSXML component niet kan interpreteren."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' kan niet worden geopend want het is versleuteld en de versleutelingscomponent is niet geïnstalleerd.\n\nNeem contact op met AbstractSpoon Software voor meer informatie."	"text"
