TRANSTEXT 7.2.997.6
PRIMARY_LANGID 0
English Text	Translated Text	Item Type
NEED_TRANSLATION
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	""	"text"
"% of page"	""	"combobox"
"%s weekdays"	""	"text"
"'%s' could not be opened because the network location is not currently accessible."	""	"text"
"'CTRL + click' to follow link"	""	"tooltip"
"'Non-working hours' colour"	""	"button"
"'Stack' comments above (or left of) edit fields"	""	"checkbox"
"'{0}' appears in {1} tasks"	""	"tooltip"
"(handler not installed)"	""	"label"
"(Note: You should only use this option if you are certain that the incoming tasks will have the correct task IDs)"	""	"label"
"(paused)"	""	"text"
"(Week {0})"	""	"label"
"-at <alloc to>\tSets the 'Allocated To' for the currently selected task"	""	"text"
"-ca <attribute id> <attribute value>\tSets the value for the specified custom attribute ID for the currently selected task"	""	"text"
"-copy <attrib1> <attrib2>\tCopies the value for 'attrib1' to 'attrib2' for the currently selected task"	""	"text"
"-ct <time>\tSets the 'Completion Time' for the currently selected task"	""	"text"
"-dt <time>\tSets the 'Due Time' for the currently selected task"	""	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	""	"text"
"-g\tEnables logging"	""	"text"
"-h, -help, -?\tDisplays a message box showing all the available commandline options"	""	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	""	"text"
"-mt <time>\tSets the 'Creation Time' of the newly created task"	""	"text"
"-pc <percentage>\tSets the 'Percentage Completion' for the currently selected task"	""	"text"
"-st <time>\tSets the 'Start Time' for the currently selected task"	""	"text"
"-z\tStores attribute visibility settings within each tasklist"	""	"text"
"3rd Party Storage"	""	"menu"
"3rd Party Storage %d"	""	"menu"
"<multiple formats>"	""	"text"
"<New Allocation>"	""	"text"
"<New Button>"	""	"text"
"<separator>"	""	"text"
"<unknown format>"	""	"combobox"
"Activate Filter"	""	"menu"
"Activate Task View"	""	"menu"
"Active Date Range (%s)"	""	"label"
"Actual Work"	""	"text"
"Add dividing line"	""	"checkbox"
"Add Tracked Time"	""	"tooltip"
"Adjust allocations equally"	""	"radiobutton"
"Adjust allocations in proportion to their existing values"	""	"radiobutton"
"Alignment on page"	""	"label"
"Allocations"	""	"label"
"Alpha Release"	""	"text"
"And then stop the timer"	""	"label"
"Auto-calculate missing allocations"	""	"checkbox"
"Auto-generate header row"	""	"combobox"
"Automatic"	""	"text"
"Backwards By"	""	"menu"
"Beginning at"	""	"label"
"begins in %.0f minutes at %s"	""	"text"
"begins in %s at %s"	""	"text"
"Beta Release"	""	"text"
"Border colour"	""	"checkbox"
"Border width"	""	"label"
"Buy"	""	"label"
"Caption"	""	"label"
"Cell padding"	""	"label"
"Cell Properties"	""	"menu"
"Cell spacing"	""	"label"
"Cleanup Ini Preferences"	""	"dialog"
"Cleanup Ini Preferences..."	""	"menu"
"Clear"	""	"menu"
"Clear Background Colour"	""	"tooltip"
"Clear Background Image"	""	"tooltip"
"Clear Formatting"	""	"tooltip"
"Colour Scheme"	""	"label"
"Column span"	""	"label"
"Comments Size"	""	"menu"
  "Comments Size"	""	"text"
"Configure..."	""	"button"
"Copy All Values from '%s' Column"	""	"menu"
"Copy All Values from Column"	""	"menu"
"Copy Selected Values from '%s' Column"	""	"menu"
"Copy Selected Values from Column"	""	"menu"
"Copy Tasklist Path"	""	"menu"
"Create Tasks from Outlook"	""	"dialog"
"Created by"	""	"label"
"Current Period (%s)"	""	"text"
"Current Period: %d weekdays"	""	"label"
"Current Period: %s"	""	"text"
"Custom Attributes"	""	"text"
"Custom Toolbar"	""	"menu"
"Date prompt"	""	"text"
"Days Remaining"	""	"combobox"
"Decades \t\t\t(eg, 2000-2009)"	""	"text"
"Decades start on year '1' instead of year '0'. eg. '2001' instead of '2000'"	""	"checkbox"
"Decrement Font Size"	""	"menu"
"Default Browser..."	""	"button"
"Delegator"	""	"text"
"Delete Row"	""	"menu"
"Development Preview"	""	"text"
"Display 'Task Title' after task's gantt bar"	""	"checkbox"
"Display 'User Defined Tools'"	""	"checkbox"
"Display a task as 'Flagged' if any of its subtasks are flagged"	""	"checkbox"
"Display a task's 'Last Modified' date as the latest of its and all its subtasks' last modified dates"	""	"checkbox"
"Display as percentage"	""	"text"
"Display collapsed parent tasks as 'Rollups'"	""	"button"
"Display in toolbar"	""	"checkbox"
"Due date"	""	"label"
"Duration"	""	"label"
  "Duration"	""	"checklistbox"
"Edit Allocations"	""	"tooltip"
"Edit Html"	""	"text"
"Edit Tool Name"	""	"tooltip"
"Edit..."	""	"button"
"Elapsed time"	""	"label"
"Enable"	""	"checkbox"
"Enable 'Overload' display"	""	"checkbox"
"Enable 'Underload' display"	""	"checkbox"
"Enable Editing"	""	"tooltip"
"Enable Logging"	""	"menu"
"End of Last Month"	""	"menu"
"End of Last Week"	""	"menu"
"End of Last Year"	""	"menu"
"Export Tasklist|You must select a filename that does not match the tasklist being exported."	""	"label"
"Export Tasks to CSV"	""	"text"
"Export To"	""	"groupbox"
"File prompt"	""	"text"
"Filter %d"	""	"menu"
"Filterable"	""	"combobox"
"Filters"	""	"menu"
"Find"	""	"label"
"Find in Comments"	""	"dialog"
"Find in Task Titles"	""	"dialog"
"Find what"	""	"label"
"Find/Replace"	""	"label"
"Find/Replace in Comments..."	""	"menu"
"Find/Replace in Task Titles..."	""	"menu"
"First row is header row"	""	"combobox"
"Folder prompt"	""	"text"
"Font Attributes"	""	"tooltip"
"Font Name"	""	"label"
"Font Size"	""	"label"
"Formatted"	""	"menu"
"Forwards By"	""	"menu"
"Go To Task"	""	"dialog"
"Go To Task..."	""	"menu"
"Graphs"	""	"systabcontrol32"
"Group By"	""	"checkbox"
"Heading 1"	""	"menu"
"Heading 2"	""	"menu"
"Heading 3"	""	"menu"
"Heading 4"	""	"menu"
"Heading 5"	""	"menu"
"Heat-map attribute"	""	"label"
"Heat-map scheme"	""	"label"
"Height"	""	"label"
"Hide empty attribute values"	""	"checkbox"
"Hide parent tasks"	""	"checkbox"
"Hide tasks whose Start and Due dates do not fall on the same day"	""	"checkbox"
"Hide tasks whose Start and Due times are not set"	""	"checkbox"
"Hide tasks whose Start or Due date does not fall in the current week"	""	"checkbox"
"Hide unflagged email items"	""	"checkbox"
"Horizontal alignment"	""	"label"
"Ignore '{0}'"	""	"menu"
"Image"	""	"text"
"Images..."	""	"tooltip"
"Import Tasks from CSV"	""	"text"
"Import Tasks from Tasklist"	""	"dialog"
"Import UDTs..."	""	"button"
"Increment Font Size"	""	"menu"
"Indent subtasks"	""	"checkbox"
"Inheritable"	""	"text"
"Insert Html"	""	"dialog"
"Insert Image"	""	"tooltip"
"Insert Link"	""	"tooltip"
"Insert Row"	""	"menu"
"is due in %.0f minutes at %s"	""	"text"
"is due in %s at %s"	""	"text"
"KB"	""	"text"
"Last Mod. By"	""	"text"
"Last Modified By"	""	"menu"
"Last Modified Date"	""	"menu"
"Layout"	""	"label"
"Limit colour depth of images to reduce tasklist file size"	""	"tooltip"
"Link"	""	"menu"
"link"	""	"text"
"Lock"	""	"menu"
"Lock Colour Selection"	""	"tooltip"
"Lock Task Attributes"	""	"menu"
"Locked Tasks"	""	"text"
"Lunch break (added to duration)"	""	"checkbox"
"Main Toolbar"	""	"label"
"Make Copy of Tool"	""	"tooltip"
"Match by task ID"	""	"radiobutton"
