TRANSTEXT 9.0
PRIMARY_LANGID 22
English Text	Translated Text	Item Type
NEED_TRANSLATION 13
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	""	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	""	"text"
"%s\n%0.2f Estimated\n%0.2f Spent"	""	"tooltip"
"%s\n%d Estimated\n%d Actual"	""	"tooltip"
"%s\n%d Started\n%d Completed"	""	"tooltip"
"%s\n%d Tasks"	""	"tooltip"
"%s\nDue %s\nCompleted %s"	""	"tooltip"
"%s (Fixed Columns)"	""	"combobox"
"%s ago"	""	"text"
"'%s' already exists.\nDo you want to replace it?"	""	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	""	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	""	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	""	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	""	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	""	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	""	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	""	"text"
"'%s' could not be opened for importing.\n\nCheck that you have the necessary permissions and that the file is not open in another application."	""	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	""	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	""	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	""	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	""	"text"
"'Alt' key overrides 'Max Count' when dragging tasks"	""	"checkbox"
"'Stack' comments above (or left of) edit fields"	""	"checkbox"
"(null)"	""	"combobox"
"-ab <alloc by>\tSets the 'Allocated By' for the currently selected task"	""	"text"
"-at <alloc to>\tSets the 'Allocated To' for the currently selected task"	""	"text"
"-bid <task id>\tSpecifies the sibling task below which to create the new task"	""	"text"
"-c <categories>\tSets the 'Categories' for the currently selected task"	""	"text"
"-ca <attribute id> <attribute value>\tSets the value for the specified custom attribute ID for the currently selected task"	""	"text"
"-cd <date>\tSets the 'Completion Date' for the currently selected task"	""	"text"
"-cm <comments>\tAdds to the 'Comments' for the currently selected task"	""	"text"
"-cmd <id>\tSends the specified command to ToDoList's main window"	""	"text"
"-copy <attrib1> <attrib2>\tCopies the value for 'attrib1' to 'attrib2' for the currently selected task"	""	"text"
"-cs <cost>\tSets the 'Cost' for the currently selected task"	""	"text"
"-ct <time>\tSets the 'Completion Time' for the currently selected task"	""	"text"
"-dd <date>\tSets the 'Due Date' for the currently selected task"	""	"text"
"-dp <id>\tSets the 'Dependencies' for the currently selected task"	""	"text"
"-dt <time>\tSets the 'Due Time' for the currently selected task"	""	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	""	"text"
"-f <filepath2>[|<filepath3>|<filepath4>]\tAllows additional tasklists to be opened"	""	"text"
"-fr <path>\tSets the 'File Link' for the currently selected task"	""	"text"
"-g\tEnables logging"	""	"text"
"-h, -help, -?\tDisplays a message box showing all the available commandline options"	""	"text"
"-i <inipath>\tSpecifies an alternative settings file path"	""	"text"
"-ic <icon name/number>\tSets the 'Icon' for the currently selected task"	""	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	""	"text"
"-m <filepath>\tImports the specified file"	""	"text"
"-md <date>\tSets the 'Creation Date' of the newly created task"	""	"text"
"-mp\tUses the password of the first decrypted tasklist as a master password for decrypting subsequent tasklists. Requires password prompting to be turned off (-x)"	""	"text"
"-mt <time>\tSets the 'Creation Time' of the newly created task"	""	"text"
"-nt <title>\tCreates a new task in the active tasklist with the specified title"	""	"text"
"-p <priority>\tSets the 'Priority' for the currently selected task"	""	"text"
"-pc <percentage>\tSets the 'Percentage Completion' for the currently selected task"	""	"text"
"-pid <task id>\tSpecifies the parent task in which to create the new task"	""	"text"
"-r <risk>\tSets the 'Risk' for the currently selected task"	""	"text"
"-s <status>\tSets the 'Status' for the currently selected task"	""	"text"
"-sd <date>\tSets the 'Start Date' for the currently selected task"	""	"text"
"-st <time>\tSets the 'Start Time' for the currently selected task"	""	"text"
"-te <hrs>\tSets the 'Time Estimate' for the currently selected task"	""	"text"
"-tg <tags>\tSets the 'Tags' for the currently selected task"	""	"text"
"-tid <task id>\tSelects the specified task in the active tasklist"	""	"text"
"-tp <prefix>\tApplies a prefix to the application title"	""	"text"
"-ts <hrs>\tSets the 'Time Spent' for the currently selected task"	""	"text"
"-tt <title>\tSets the 'Title' for the currently selected task"	""	"text"
"-tv <version>\tSets the 'Version' for the currently selected task"	""	"text"
"-v\tForces ToDoList to startup visible regardless of its last saved state"	""	"text"
"-x\tTurns off password prompting except when first loading an encrypted tasklist"	""	"text"
"-xid <ext_id>\tSets the 'external ID' for the currently selected task"	""	"text"
"-z\tStores attribute visibility settings within each tasklist"	""	"text"
"1 : 8  points"	""	"combobox"
"2 : 10 points"	""	"combobox"
"3 : 12 points"	""	"combobox"
"3. Which columns do you initially want to see ?\n\nNote: You can modify this choice later using  'View > Select Columns'"	""	"label"
"4 : 14 points"	""	"combobox"
"5 : 18 points"	""	"combobox"
"5 pt"	""	"combobox"
"6 : 24 points"	""	"combobox"
"6 pt"	""	"combobox"
"7 : 36 points"	""	"combobox"
"7 pt"	""	"combobox"
"8 pt"	""	"combobox"
"9 pt"	""	"combobox"
"10 pt"	""	"combobox"
"11 pt"	""	"combobox"
"12 pt"	""	"combobox"
"14 pt"	""	"combobox"
"16 pt"	""	"combobox"
"18 pt"	""	"combobox"
"20 pt"	""	"combobox"
"<filepath>\tOpens/selects the specified tasklist"	""	"text"
"<New Column>"	""	"text"
"<optional>"	""	"text"
"A connection to '%s' could not be established.\n\nWould you like to check your details and try again?"	""	"text"
"All Files (*.*)"	""	"combobox"
"All Files (*.*)|*.*||"	""	"text"
"All Supported Files"	""	"combobox"
"Alpha Release"	""	"text"
"Also modify task 'Time Spent' by {0:0.###} hours"	""	"checkbox"
"Anonymise Task Log File"	""	"menu"
"Are you sure you want to delete the '%s' search?"	""	"text"
"Attribute Selection"	""	"groupbox"
"Auto fit to cell"	""	"checkbox"
"Background colour for 'Full' columns"	""	"checkbox"
"Backup"	""	"label"
"Bar Style"	""	"combobox"
"Bcc"	""	"text"
"Before you can download updates you need to install the Web Update Wizard component (and then try again).\n\nWould you like to download the Web Update Wizard now?"	""	"text"
"Before you can spell check for the first time you need \nto specify the location of the Spell Checker."	""	"text"
"Beta Release"	""	"text"
"Bitmap Images (*.bmp)|*.bmp|GIF Images (*.gif)|*.gif|JPEG Images (*.jpg, *.jpeg)|*.jpg;*.jpeg|PNG Images (*.png)|*.png|TIFF Images (*.tif)|*.tif||"	""	"text"
"Bottom Left"	""	"menu"
"Bottom Right"	""	"menu"
"Cat."	""	"text"
"Cc"	""	"text"
"Change font"	""	"tooltip"
"Change Font"	""	"tooltip"
"Change font size"	""	"tooltip"
"Chart"	""	"menu"
"Clear Attribute Value"	""	"menu"
"Clear Label Background Colour"	""	"tooltip"
"Clear Search"	""	"button"
"Complete Task"	""	"button"
"Completed task"	""	"tooltip"
"Connect to Database"	""	"dialog"
"Connect to Server"	""	"dialog"
"Connect..."	""	"button"
"Connection Error"	""	"text"
"Content Font"	""	"label"
"Convert selected object between types\nConvert Object"	""	"text"
"Copy Attribute Value"	""	"menu"
"Create Time Block"	""	"dialog"
"Currently assigned to:\n\n'%s'"	""	"text"
"Custom"	""	"groupbox"
"Custom attributes"	""	"checkbox"
"Dark Mode|Dark Mode will be updated next time you restart ToDoList.\n\nWould you like to restart ToDoList now?"	""	"text"
"Database"	""	"label"
"Date/Time"	""	"groupbox"
"Decades \t\t\t(eg. 2000-2009)"	""	"text"
