TRANSTEXT 7.1.997.12
PRIMARY_LANGID 25
English Text	Translated Text	Item Type
NEED_TRANSLATION
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	""	"text"
"'Non-working hours' colour"	""	"button"
"(handler not installed)"	""	"label"
"-ca <attribute id> <attribute value>\tSets the value for the specified custom attribute ID for the currently selected task"	""	"text"
"-ct <time>\tSets the 'Completion Time' for the currently selected task"	""	"text"
"-dt <time>\tSets the 'Due Time' for the currently selected task"	""	"text"
"-e\tStarts ToDoList without reloading any previously open tasklists"	""	"text"
"-g\tEnables logging"	""	"text"
"-h, -help, -?\tDisplays a message box showing all the available commandline options"	""	"text"
"-l <task link>\tOpens the specified tasklist and selects the specified task"	""	"text"
"-mt <time>\tSets the 'Creation Time' of the newly created task"	""	"text"
"-pc <percentage>\tSets the 'Percentage Completion' for the currently selected task"	""	"text"
"-st <time>\tSets the 'Start Time' for the currently selected task"	""	"text"
"-z\tStores attribute visibility settings within each tasklist"	""	"text"
"<New Button>"	""	"text"
"<separator>"	""	"text"
"Add Tracked Time"	""	"tooltip"
"And then stop the timer"	""	"label"
"begins in %.0f minute(s) at %s"	""	"text"
"Cleanup Ini Preferences"	""	"dialog"
"Cleanup Ini Preferences..."	""	"menu"
"Comments Size"	""	"menu"
  "Comments Size"	""	"text"
"Custom Attributes"	""	"text"
"Custom Toolbar"	""	"menu"
"Display 'Task Title' after task's gantt bar"	""	"checkbox"
"Display 'User Defined Tools'"	""	"checkbox"
"Display a task's 'Last Modified' date as the latest of its and all its subtasks' last modified dates"	""	"checkbox"
"Display collapsed parent tasks as 'Rollups'"	""	"button"
"Edit..."	""	"button"
"Elapsed time"	""	"label"
"Enable Logging"	""	"menu"
"End of Last Month"	""	"menu"
"End of Last Week"	""	"menu"
"End of Last Year"	""	"menu"
"Find in Task Titles"	""	"text"
"Find In Task Titles"	""	"dialog"
"Find/Replace in Task Titles..."	""	"menu"
"Find/Replace In Task Titles..."	""	"menu"
"Hide parent tasks"	""	"checkbox"
"Hide tasks whose Start and Due dates do not fall on the same day"	""	"checkbox"
"Hide tasks whose Start and Due times are not set"	""	"checkbox"
"Hide tasks whose Start or Due date does not fall in the current week"	""	"checkbox"
"Ignore '{0}'"	""	"menu"
"Image"	""	"text"
"Indent subtasks"	""	"checkbox"
"Inheritable"	""	"text"
"is due in %.0f minute(s) at %s"	""	"text"
"KB"	""	"text"
"Last Mod. By"	""	"text"
"link"	""	"text"
"Main Toolbar"	""	"label"
"Mind Map"	""	"systabcontrol32"
"Minimise to System Tray"	""	"menu"
"Move Down"	""	"button"
"Move Up"	""	"button"
"One or more tasks could not be exported."	""	"text"
"Percent Done"	""	"text"
"Pick the new task on which the just picked task will be dependent..."	""	"text"
"Pick the task on which the just picked task will be dependent..."	""	"text"
"Pick the task you want to be dependent on another task..."	""	"text"
"Preferences location"	""	"static"
"Preserve comments"	""	"button"
"Reload Icons"	""	"button"
"Remove the following tasklist information from your ini file?"	""	"text"
"Replace in Task Titles"	""	"text"
"Reset Elapsed Time"	""	"tooltip"
"Root"	""	"text"
"Save Task View to Image"	""	"text"
"Saving task view image..."	""	"text"
"Show full task path in Sticky"	""	"checkbox"
"Show Reminder Notification Window"	""	"menu"
"Spiral"	""	"text"
"System File Required|ToDoList requires the 'Microsoft Visual C++ 2010 SP1 Redistributable Package' to be installed.\n\nClick 'OK' to visit the appropriate download page or 'Cancel' to quit."	""	"text"
"Task date not set"	""	"tooltip"
"Task Matches"	""	"text"
"Task Reminders"	""	"dialog"
"Tasklists (*.tdl)"	""	"combobox"
"The exported content could not be saved to '%s'"	""	"text"
"The following task has been tracked for %d minutes:\n\n%s: %s"	""	"text"
"There is currently no tasklist information which can be removed from your ini file."	""	"text"
"Tick the boxes of the tasklists you want to delete from your ini file"	""	"static"
"Time of creation"	""	"checkbox"
"ToDoList cannot start because your preferences file is locked by another application."	""	"text"
"Toggle All Tasks Expanded State"	""	"menu"
"Typewriter"	""	"text"
"User Interface>Custom Toolbar"	""	"text"
"User Interface>General>Main Toolbar"	""	"text"
"User Interface>General>Task View Visibility"	""	"text"
"Week Planner"	""	"systabcontrol32"
"Week Planner Preferences"	""	"dialog"
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(ВНИМАНИЕ: Одна или более задач имеют подзадачи, которые тоже будут удалены)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(ВНИМАНИЕ: Эта задача имеет подзадачи, которые тоже будут удалены)"	"text"
"\nWould you like to update to this version?"	"\nОбновить до этой версии?"	"text"
"% Complete"	"Завершено %"	"label"
"% Complete:\t"	"Завершено %:\t"	"text"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Кб загружено (осталось %0.1f Кб)"	"text"
"%d"	"%d"	"text"
"%d / %d tasks"	"%d / %d задач"	"text"
"%d task(s) selected"	"%d задач(а) выделено"	"text"
"%s (Custom)"	"%s (установленный)"	"text"
"%s (Custom, Relative)"	"%s (установленный, относительный)"	"text"
"%s (Delay loaded)"	"%s (Задержка загрузки)"	"text"
"%s - %d task(s)"	"%s - %d задач(и)"	"text"
"%s [%s]"	"%s [%s]"	"text"
"'%s' contained no tasks which could be imported."	"Файл '%s' не содержит задач для импорта."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' не может быть проверен\nт.к. сейчас проверяется '%s'"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' не может быть проверен.\n\nУбедитесь, что файл не перемещен или удален и что вы имеете к нему доступ."	"text"
"'%s' could not be found."	"'%s' не найден."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"%s' невозможно открыть (%d).\n\nУбедитесь в наличии файла прав на доступ и попробуйте открыть его снова."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"%s' не может быть открыт из-за отказа доступа к файлу.\n\nПожалуйста, убедитесь в наличии необходимых разрешений и попробуйте снова."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' невозможно открыть, т.к. другой пользователь\n(или программа) заблокировал этот файл.\n\nПопробуйте позже."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' не может быть открыт, т.к. содержит\nневерный XML, который не интерпретируется MSXML."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' не может быть открыт, т.к. зашифровано и вы не установили компонент для шифрации.\n\nСвяжитесь с AbstractSpoon Software для детальной информации."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"'%s' не может быть открыт, т.к. метод кодирования не определен."	"text"
"'%s' could not be opened because the network location is not currently accessible."	"Невозможно открыть '%s', т.к. отсутствует доступ к сети."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"'%s' не может быть открыт из-за неожиданной ошибки (%d)."	"text"
"'%s' could not be opened for importing.\n\nCheck that you have the necessary permissions and that the file is not open in another application."	"'%s' could not be opened for importing.\n\nCheck that you have the necessary permissions and that the file is not open in another application."	"text"
