TRANSTEXT 7.1.997.12
PRIMARY_LANGID 4
English Text	Translated Text	Item Type
TRANSLATED
"Minimum height of each interval"	"每个间隔的最小高度"	"label"
"Number (fraction eg. 2/3)"	"数字（分数，例如2/3）"	"text"
"s"	"s"	"menu"
"Search Preferences"	"搜索设置"	"text"
"Smallest editable interval"	"最小的可编辑间隔"	"label"
"Task Visibility"	"任务可见性"	"groupbox
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(注意：这些任务的一个或更多子任务将被删除)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(注意：这个带有子任务的任务将被删除)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\n您是否想要强制检出任务列表？\n\n请注意：'%s'中未保存的任何数据将会丢失！"	"text"
"\nWould you like to update to this version?"	"\n你想要更新到这个版本吗?"	"text"
"% Complete"	"完成百分比"	"label"
"% Complete:\t"	"完成百分比:\t"	"text"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"目前已下载 %0.1f Kb (剩余 %0.1f Kb )"	"text"
"%d"	"%d"	"text"
"%d / %d tasks"	"%d /%d 任务"	"text"
"%d task(s) selected"	"已选择任务 %d"	"text"
"%s (Custom)"	"%s (自定义)"	"text"
"%s (Custom, Relative)"	"%s (自定义, 相对)"	"text"
"%s (Delay loaded)"	"%s (延迟加载)"	"text"
"%s - %d task(s)"	"%s - %d 任务(s)"	"text"
"%s [%s]"	"%s [%s]"	"text"
"'%s' contained no tasks which could be imported."	"文件“%s”不包含可以导入的任务"	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s'无法检出\n，因为它当前已检出到'%s'（上次保存：%s）。"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"“%s” 无法检出. \n\n请检查它是否被移动或删除,并且您具有所需的访问权限."	"text"
"'%s' could not be found."	"“%s”无法找到."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"“%s”无法打开(%d).\n\n再次尝试前,请检查文件是否存在和您是否具有相应的访问权限."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"“%s”无法打开,因为访问文件时被拒绝.\n\n请检查您具有所需权限后再试一次."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"“%s”无法打开, 因为其他用户\n(或程序)当前正在访问此文件.\n\n请稍后尝试."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"“%s” 无法打开, 因为包含\n格式不正确的 XML, 导致MSXML 组件无法解释."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"“%s”无法打开, 因为已经加密, 并且你没有安装加密组件.\n\n更多信息请联系AbstractSpoon Software."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"“%s”无法打开, 因为加密方法无法确定."	"text"
"'%s' could not be opened because the network location is not currently accessible."	"'%s'无法打开，因为网络位置当前无法访问。"	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"“%s” 无法打开, 因为意外错误 (%d)."	"text"
"'%s' could not be opened for importing.\n\nCheck that you have the necessary permissions and that the file is not open in another application."	"文件“%s”无法打开.\n\n请检查您有打开文件的必要权限,且该文件未被其他程序占用."	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	"“%s”无法保存, 因为访问文件被拒绝.\n\n请选择其他文件名."	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"“%s”无法保存, 因为其他用户\n(或程序)当前正在访问此文件.\n\n请稍后尝试."	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	"“%s”无法保存, 因为是只读文件. \n\n请选择其他文件名."	"text"
"'%s' could not be saved due to an unexpected error (%d)."	"“%s”无法保存, 因为意外错误 (%d)."	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	"“%s” 无法保存, 因为磁盘空间不足. \n\n请选择其他文件名."	"text"
"'%s' does not appear to be a valid tasklist."	"“%s”看起来不是有效的任务列表."	"text"
"'%s' has no tasks due by the end of next month"	"“%s”没有任务在下个月末到期"	"text"
"'%s' has no tasks due by the end of next week"	"“%s” 没有任务在下周末到期"	"text"
"'%s' has no tasks due by the end of this month"	"“%s”没有任务在本月末到期"	"text"
"'%s' has no tasks due by the end of this week"	"“%s”没有任务在本周末到期"	"text"
"'%s' has no tasks due by today"	"“%s”没有任务在今天到期"	"text"
"'%s' has no tasks due by tomorrow"	"“%s”没有任务在明天到期"	"text"
"'%s' must be checked out before it can be saved."	"“%s” 必须先检出再保存."	"text"
"'Bar' colour for tasks having no colour"	"没有颜色的任务进度条颜色"	"checkbox"
"'Due Today' task colour"	"今日到期任务颜色"	"checkbox"
"'Due' task colour"	"到期任务的颜色"	"checkbox"
"'New Subtask' button places subtask"	"新建子任务按钮将子任务置于："	"label"
