TRANSTEXT 9.0
PRIMARY_LANGID 9
English Text	Translated Text	Item Type
NEED_TRANSLATION 0
"combobox"	""	"text"
TRANSLATED
"% Complete"	"Tamamlandı"	"label"
"% of page"	"Sayfanın %'si"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"Şimdiye kadar %0,1f Kb indirildi (%0,1f Kb kaldı)"	"text"
"%d / %d tasks"	"d / %d görevler"	"text"
"%d more tasks"	"d daha fazla görev"	"tooltip"
"%d Tasks"	"d Görevler"	"tooltip"
"%d tasks selected"	"d görev seçildi"	"text"
"%s (Custom)"	"s (Özel)"	"text"
"%s (Custom, Relative)"	"s (Özel, Göreceli)"	"text"
"%s (Delay loaded)"	"s (Gecikme yüklendi)"	"text"
"%s (Fixed Columns)"	"s (Sabit Sütunlar)"	"combobox"
"%s - %d tasks"	"s - %d görevler"	"text"
"%s ago"	"%s önce"	"text"
"%s weekdays"	"%s hafta içi"	"text"
"%s\n%0.2f Estimated\n%0.2f Spent"	"s\n%0,2f Tahmini\n%0,2f Harcanan"	"tooltip"
"%s\n%d Estimated\n%d Actual"	"s\n%d Tahmini\n%d Gerçekleşen"	"tooltip"
"%s\n%d Started\n%d Completed"	"s\n%d Başladı\n%d Tamamlandı"	"tooltip"
"%s\n%d Tasks"	"s\n%d Görevler"	"tooltip"
"%s\nDue %s\nCompleted %s"	"s\nVadesi %s\nTamamlandı %s"	"tooltip"
"'%s' already exists.\nDo you want to replace it?"	"'%s' zaten mevcut.\nDeğiştirmek istiyor musunuz?"	"text"
"'%s' contained no tasks which could be imported."	"'%s' içe aktarılabilecek hiçbir görev içermiyordu."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' teslim alınamadı \nçünkü şu anda '%s'ye teslim edilmiş durumda (Son kaydedilen: %s)."	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' kontrol edilemedi.\n\nLütfen taşınmadığını veya silinmediğini ve gerekli erişim haklarına sahip olduğunuzu kontrol edin."	"text"
"'%s' could not be found."	"'%s' bulunamadı."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"'%s' açılamadı (%d).\n\nLütfen tekrar denemeden önce dosyanın var olup olmadığını ve uygun erişim haklarına sahip olup olmadığınızı kontrol edin."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"Dosyaya erişim reddedildiği için '%s' açılamadı.\n\nLütfen gerekli izinlere sahip olup olmadığınızı kontrol edin ve tekrar deneyin."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' açılamadı çünkü şu anda dosyaya başka bir kullanıcı\n(veya uygulama) erişiyor.\n\nLütfen birazdan tekrar deneyin."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' açılamadı çünkü MSXML bileşeninin yorumlayamadığı \normal biçimlendirilmiş XML içeriyor."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' şifrelenmiş olduğundan ve şifreleme bileşeni yüklü olmadığından açılamadı.\n\nDaha fazla bilgi için lütfen AbstractSpoon Software ile iletişime geçin."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"Şifreleme yöntemi belirlenemediği için '%s' açılamadı."	"text"
"'%s' could not be opened because the network location is not currently accessible."	"'%s' açılamadı çünkü ağ konumuna şu anda erişilemiyor."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"'%s' beklenmeyen bir hata (%d) nedeniyle açılamadı."	"text"
