TRANSTEXT 9.0
PRIMARY_LANGID 34
English Text	Translated Text	Item Type
NEED_TRANSLATION
"%s\nDue %s\nCompleted %s"	""	"tooltip"
"Due/Completion Dates"	""	"combobox"
"Modify"	""	"tooltip"
"{0}H duration"	""	"text"
"{0}H logged"	""	"text"
"{0}m duration"	""	"text"
"{0}m logged"	""	"text"
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(УВАГА: одне або кілька із цих завдань мають підзавдання, які також будуть видалені)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(УВАГА: це завдання має підзавдання, які також будуть видалені)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nВи хочете примусово отримати список завдань?\n\nПримітка: будь-які незбережені дані з '%s' буде втрачено!"	"text"
"% Complete"	"Завершено %"	"label"
"% of page"	"% сторінки"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Кб завантажено (залишилось %0.1f Кб)"	"text"
"%d / %d tasks"	"%d / %d завдань"	"text"
"%d more tasks"	"Ще %d завдань"	"tooltip"
"%d tasks selected"	"%d завдань вибрано"	"text"
"%s\n%0.2f Estimated\n%0.2f Spent"	"%s\n%0.2f Орієнтовно\n%0.2f Витрачено"	"tooltip"
"%s\n%d Estimated\n%d Actual"	"%s\n%d Приблизно\n%d Фактично"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d Розпочато\n%d Завершено"	"tooltip"
"%s\n%d Tasks"	"%s\n%d завдань"	"tooltip"
"%s (Custom)"	"%s (встановлено)"	"text"
"%s (Custom, Relative)"	"%s (встановлено, відносно)"	"text"
"%s (Delay loaded)"	"%s (Затримка завантаження)"	"text"
"%s - %d tasks"	"%s - %d завдань(я)"	"text"
"%s weekdays"	"%s робочих днів"	"text"
"'%s' already exists.\nDo you want to replace it?"	"'%s' вже існує.\Ви бажаєте його замінити?"	"text"
"'%s' contained no tasks which could be imported."	"Файл '%s' не містить завдань, які можна імпортувати.."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' не може бути перевірено\nт.я. зараз перевіряється '%s'"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' не може бути перевірен.\n\nБудь ласка, переконайтеся, що його не було переміщено або видалено, і що у вас є необхідні права доступу."	"text"
"'%s' could not be found."	"'%s' не знайдено."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"%s' неможливо відкрити (%d).\n\nПерш ніж повторити спробу, переконайтеся, що файл існує та маєте відповідні права доступу."	"text"
