TRANSTEXT 8.2.999.1
PRIMARY_LANGID 42
English Text	Translated Text	Item Type
NEED_TRANSLATION
"(Weeks {0}-{1})"	""	"label"
"-mp\tUses the password of the first decrypted tasklist as a master password for decrypting subsequent tasklists. Requires password prompting to be turned off (-x)"	""	"text"
"1st attribute"	""	"label"
"2nd attribute"	""	"label"
"<New Dependency>"	""	"text"
"Add"	""	"combobox"
"All Columns"	""	"menu"
"All Rows"	""	"menu"
"Any version can match"	""	"combobox"
"Apply font to all content"	""	"radiobutton"
"Apply offset from 'Today'"	""	"checkbox"
"Arrows"	""	"label"
"Auto Function"	""	"menu"
"Background colour"	""	"checkbox"
"Both"	""	"combobox"
"Button"	""	"menu"
"Calculation"	""	"text"
"Cells"	""	"menu"
"Change Cell Type"	""	"menu"
"Check Box"	""	"menu"
"Clear Zoom"	""	"tooltip"
"Collapse All Images"	""	"tooltip"
"Column Dropdown List"	""	"menu"
"Column Width..."	""	"menu"
"Comments Format"	""	"text"
"Connection Visibility"	""	"label"
"Create Time Block"	""	"dialog"
"Date Picker"	""	"menu"
"Date range"	""	"label"
"Default Connection Attributes"	""	"label"
"Define Named Range..."	""	"menu"
"Delete Columns"	""	"menu"
"Delete Connection"	""	"tooltip"
"Delete Rows"	""	"menu"
"Delete Time Block"	""	"tooltip"
"Delete Time Block Series"	""	"tooltip"
"Dependency colour"	""	"label"
"Display 'File Link' images as thumbnails"	""	"checkbox"
"Display active tasks on 'Today'"	""	"checkbox"
"Display an image behind content pages"	""	"checkbox"
"Display tasks discontinuously between their 'Start' and 'Due' (or 'Completion') dates"	""	"checkbox"
"Divide"	""	"combobox"
"Documentation..."	""	"menu"
"Draw connections on top"	""	"combobox"
"Draw pins"	""	"combobox"
"Duplicate Time Block"	""	"tooltip"
"Edit Cell"	""	"menu"
"Edit Connection"	""	"tooltip"
"Edit Dropdown List Items..."	""	"menu"
"Edit Ignore List"	""	"tooltip"
"Edit Task Dependency..."	""	"menu"
"Edit Time Block Series"	""	"tooltip"
"End"	""	"combobox"
"Evidence Board"	""	"text"
"Evidence Board Preferences"	""	"dialog"
"Expand All Images"	""	"tooltip"
"File not found (%s)"	""	"tooltip"
"Fixed"	""	"radiobutton"
"Font Options"	""	"label"
"Format Cell..."	""	"menu"
"Formula"	""	"menu"
"Freeze To Cell"	""	"menu"
"Freeze To Edges"	""	"menu"
"Graphs Preferences"	""	"tooltip"
"Group"	""	"menu"
"Group By"	""	"label"
"Having the following tag"	""	"checkbox"
"Hide"	""	"menu"
"Homepage..."	""	"menu"
"Hyperlink"	""	"menu"
"Ignore Selected Word"	""	"tooltip"
"Image Button"	""	"menu"
"Image of active task view (%s)"	""	"radiobutton"
"Insert Columns"	""	"menu"
"Insert Page Break"	""	"menu"
"Insert Rows"	""	"menu"
"Installed font"	""	"radiobutton"
"Label"	""	"label"
"Lead In (Days)"	""	"sysheader32"
"Left Bottom"	""	"menu"
"Left Top (Default)"	""	"menu"
"Markdown"	""	"text"
"Merge Cells"	""	"menu"
"Multiply"	""	"combobox"
"Name Manager..."	""	"menu"
"Negative Progress"	""	"menu"
"New"	""	"menu"
"New Connection"	""	"tooltip"
"New External Tool"	""	"tooltip"
"New Time Block"	""	"tooltip"
"New ToDoList Tool"	""	"tooltip"
"None"	""	"combobox"
"Only 'flash' the Reminder window for new (or reshown) reminders"	""	"checkbox"
"Only apply font to unformatted content"	""	"radiobutton"
"Operation"	""	"label"
"Other font"	""	"radiobutton"
"Parent/Child"	""	"combobox"
"Parent/child connection colour"	""	"label"
"Paste Task Attributes"	""	"menu"
"PDF Tree View"	""	"combobox"
"PDF Tree View Options"	""	"dialog"
"Please ensure that the following files are not open in another application"	""	"text"
"Preserve weekdays by default when recalculating task dates"	""	"checkbox"
"Properties..."	""	"menu"
"Radio Button"	""	"menu"
"Recalculate Worksheet"	""	"menu"
"Remove All Arrows"	""	"menu"
"Remove Arrows"	""	"menu"
"Remove Dependent Arrows"	""	"menu"
"Remove Page Break"	""	"menu"
"Remove Precedent Arrows"	""	"menu"
"Repeat Last Action"	""	"menu"
"Reset All Page Breaks"	""	"menu"
"Reset Height"	""	"menu"
"Reset Width"	""	"menu"
"Resize..."	""	"menu"
"Result type"	""	"label"
"Right Bottom"	""	"menu"
"Right Top"	""	"menu"
"Rows"	""	"menu"
"Save Task View (%s) to Image..."	""	"menu"
"Scroll to Selected Task"	""	"menu"
"Selected Columns"	""	"menu"
"Selected Rows"	""	"menu"
"Sheet"	""	"menu"
"Show 'Visible Date Range' slider"	""	"combobox"
"Show close buttons on tabs"	""	"checkbox"
"Show edit field"	""	"combobox"
"Show full date in each cell"	""	"checkbox"
"Show the 'Week Number' on the first day of the week"	""	"checkbox"
"Specific"	""	"radiobutton"
"Specific days"	""	"label"
"Spreadsheet"	""	"text"
"Straight line connections"	""	"combobox"
"Subtract"	""	"combobox"
"Suspend Reference Updating"	""	"menu"
"Synchronised to task dates"	""	"radiobutton"
"Task/Attribute Selection"	""	"label"
"The requested image was too large to be created.\n\nTry zooming out or otherwise reducing the extents of the tasks to be rendered."	""	"text"
"Thickness"	""	"label"
"Time of day"	""	"label"
"Trace Dependents"	""	"menu"
"Trace Precedents"	""	"menu"
"Ungroup"	""	"menu"
"Ungroup All"	""	"menu"
"Unhide"	""	"menu"
"Unmerge Cells"	""	"menu"
"Untyped"	""	"combobox"
"Use same font for 'Comments'"	""	"checkbox"
"Use same font for 'Find Tasks Results'"	""	"checkbox"
"Use same font for 'Task Reminders'"	""	"checkbox"
"View Debug Log File"	""	"menu"
"Visible Date Range"	""	"label"
"Watermark"	""	"label"
"weekday"	""	"combobox"
"Zoom to Extents"	""	"tooltip"
TRANSLATED
"\n\n(ATTENTION: One or more of these tasks has subtasks which will also be deleted)"	"\n\n(LƯU Ý: Một hoặc nhiều trong số các nhiệm vụ này có các nhiệm vụ phụ cũng sẽ bị xóa)"	"text"
"\n\n(ATTENTION: This task has subtasks which will also be deleted)"	"\n\n(LƯU Ý: Nhiệm vụ này có các nhiệm vụ phụ cũng sẽ bị xóa)"	"text"
"\n\nDo you want to forcibly checkout the tasklist?\n\nNote: Any unsaved data from '%s' will be lost!"	"\n\nBạn có muốn bắt buộc kiểm tra danh sách nhiệm vụ không? \n\nLưu ý: Mọi dữ liệu chưa được lưu từ '%s' sẽ bị mất!"	"text"
"% Complete"	"% Hoàn thành"	"label"
"% of page"	"% trang"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"Đã tải xuống%0.1f Kb cho đến nay (%0.1f Kb Kb còn lại)"	"text"
"%d / %d tasks"	"%d / %d nhiệm vụ"	"text"
"%d more tasks"	"%d nhiệm vụ khác"	"tooltip"
"%d tasks selected"	"%d nhiệm vụ được chọn"	"text"
"%s\n%d Estimated\n%d Actual"	"%s\n%d Ước tính\n%d Thực tế"	"tooltip"
"%s\n%d Estimated\n%d Spent"	"%s\n%d Ước tính\n%d Đã tiêu"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d Đã bắt đầu\n%d Đã hoàn thành"	"tooltip"
"%s\n%d Tasks"	"%s\n%d Nhiệm vụ"	"tooltip"
"%s (Custom)"	"%s (Tùy chỉnh)"	"text"
"%s (Custom, Relative)"	"%s (Tùy chỉnh, Tương đối)"	"text"
"%s (Delay loaded)"	"%s (Độ trễ được tải)"	"text"
"%s - %d tasks"	"%s -%d nhiệm vụ"	"text"
"%s weekdays"	"%s các ngày trong tuần"	"text"
"'%s' already exists.\nDo you want to replace it?"	"'%s' đã tồn tại.\nạn có muốn thay thế nó không?"	"text"
"'%s' contained no tasks which could be imported."	"'%s' không chứa nhiệm vụ nào có thể được nhập."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"Không thể kiểm xuất '%s' \n vì nó hiện đã được kiểm xuất cho '%s' (Lưu lần cuối:%s).\r\n"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"Không thể kiểm tra '%s'. \n\nVui lòng kiểm tra để đảm bảo rằng nó chưa bị di chuyển hoặc bị xóa và bạn có các quyền truy cập cần thiết.\r\n"	"text"
"'%s' could not be found."	"Không thể tìm thấy '%s'."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"Không thể mở '%s' (%d). \n\nVui lòng kiểm tra xem tệp có tồn tại hay không và bạn có quyền truy cập thích hợp hay không trước khi thử lại."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"Không thể mở '%s' vì quyền truy cập vào tệp đã bị từ chối. \n\nVui lòng kiểm tra xem bạn có các quyền cần thiết hay không và thử lại."	"text"
